Campaign,Ad Group,Keyword,Criterion Type,Status,Final URL
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,renderizar sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,render sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,render sketchup online,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,renderizar sketchup online,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,renderizar modelo do sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,sketchup com ia,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,ia para sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,render com ia sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,renderizador sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,render rápido sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,renderizar sketchup,Phrase,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,plugin render sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,plugin de render para sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,plugin de renderização sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,plugin renderizador sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,renderizador para sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,render sketchup plugin,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,extensão render sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,plugin ia sketchup,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,plugin de render sketchup grátis,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,plugin de render sketchup,Phrase,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,planta humanizada,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,planta humanizada online,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,planta humanizada com ia,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,planta humanizada ia,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,fazer planta humanizada,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,programa para planta humanizada,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,planta humanizada automática,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,planta baixa humanizada,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,humanizar planta baixa,Exact,Enabled,
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,humanizar planta,Exact,Enabled,
