conjunto,camada,onde no Gerenciador,item (buscar exatamente assim),regra,observação
SN_META_PROSPECCAO_ARQUITETO_RENDER,0 · base,Público → Mudar para opções de público original,Advantage+ público DESLIGADO,obrigatório,"Sem isso, interesses viram só sugestão"
SN_META_PROSPECCAO_ARQUITETO_RENDER,0 · base,Locais,"Brasil — ""Pessoas que moram neste local""",obrigatório,"Não usar ""presença ou interesse"""
SN_META_PROSPECCAO_ARQUITETO_RENDER,0 · base,Idade / Idiomas,24–50 / Português (Brasil),obrigatório,
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Interesses,Arquitetura,incluir se existir,Camada 1 = qualquer um destes
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Interesses,Design de interiores,incluir se existir,Camada 1 = qualquer um destes
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Interesses,Arquitetura e Construção,incluir se existir,Camada 1 = qualquer um destes
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Interesses,Estilo arquitetônico,incluir se existir,Camada 1 = qualquer um destes
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Interesses,Arquitetura de interiores,incluir se existir,Camada 1 = qualquer um destes
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Interesses,Paisagismo,incluir se existir,Camada 1 = qualquer um destes
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Interesses,Urbanismo,incluir se existir,Camada 1 = qualquer um destes
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Dados demográficos → Educação → Áreas de estudo,Arquitetura e urbanismo,incluir se existir,Mesma camada 1
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Dados demográficos → Educação → Áreas de estudo,Arquitetura,incluir se existir,Mesma camada 1
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Dados demográficos → Educação → Áreas de estudo,Design de interiores,incluir se existir,Mesma camada 1
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Dados demográficos → Educação → Áreas de estudo,Engenharia civil,incluir se existir,Mesma camada 1
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Dados demográficos → Trabalho → Cargos,Arquiteto,incluir se existir,"Cargos foram muito podados; anotar se não existir"
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Dados demográficos → Trabalho → Cargos,Arquiteta,incluir se existir,"Cargos foram muito podados; anotar se não existir"
SN_META_PROSPECCAO_ARQUITETO_RENDER,1 · profissão (OU),Direcionamento detalhado → Dados demográficos → Trabalho → Cargos,Designer de interiores,incluir se existir,"Cargos foram muito podados; anotar se não existir"
