canal,campanha,celula,anuncio (identificador = nome no gerenciador),destino,url_final
google,SN_GOOGLE_CAPTACAO_ARQUITETO,SKETCHUP,SN_GOOGLE_CAPTACAO_ARQUITETO_FIDELIDADE_RSA01_COPY01,/lp/print-do-sketchup,https://spacenode.app/lp/print-do-sketchup?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_fidelidade_rsa01_copy01&utm_term=arquiteto
google,SN_GOOGLE_CAPTACAO_ARQUITETO,PLUGIN,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN_RSA01_COPY01,/sketchup,https://spacenode.app/sketchup?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_plugin_rsa01_copy01&utm_term=arquiteto
google,SN_GOOGLE_CAPTACAO_ARQUITETO,PLANTAHUM,SN_GOOGLE_CAPTACAO_ARQUITETO_APRESENTACAO_RSA01_COPY01,/lp/planta-humanizada,https://spacenode.app/lp/planta-humanizada?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_apresentacao_rsa01_copy01&utm_term=arquiteto
meta,SN_META_PROSPECCAO_ARQUITETO,RENDER,SN_META_PROSPECCAO_ARQUITETO_RENDER_DRONE_COPY01,/lp/print-do-sketchup,https://spacenode.app/lp/print-do-sketchup?utm_source=meta&utm_medium=paid_social&utm_campaign=sn_meta_prospeccao_arquiteto&utm_content=sn_meta_prospeccao_arquiteto_render_drone_copy01&utm_term=arquiteto
meta,SN_META_PROSPECCAO_ARQUITETO,RENDER,SN_META_PROSPECCAO_ARQUITETO_RENDER_PISCAFACHADA_COPY01,/lp/print-do-sketchup,https://spacenode.app/lp/print-do-sketchup?utm_source=meta&utm_medium=paid_social&utm_campaign=sn_meta_prospeccao_arquiteto&utm_content=sn_meta_prospeccao_arquiteto_render_piscafachada_copy01&utm_term=arquiteto
meta,SN_META_PROSPECCAO_ARQUITETO,RENDER,SN_META_PROSPECCAO_ARQUITETO_RENDER_DUASREUNIOES_COPY02,/lp/print-do-sketchup,https://spacenode.app/lp/print-do-sketchup?utm_source=meta&utm_medium=paid_social&utm_campaign=sn_meta_prospeccao_arquiteto&utm_content=sn_meta_prospeccao_arquiteto_render_duasreunioes_copy02&utm_term=arquiteto
meta,SN_META_PROSPECCAO_ARQUITETO,PLUGIN,SN_META_PROSPECCAO_ARQUITETO_PLUGIN_PLUGINRENDER_COPY03,/sketchup,https://spacenode.app/sketchup?utm_source=meta&utm_medium=paid_social&utm_campaign=sn_meta_prospeccao_arquiteto&utm_content=sn_meta_prospeccao_arquiteto_plugin_pluginrender_copy03&utm_term=arquiteto
meta,SN_META_PROSPECCAO_ARQUITETO,PLUGIN,SN_META_PROSPECCAO_ARQUITETO_PLUGIN_PLUGINNOSU_COPY03,/sketchup,https://spacenode.app/sketchup?utm_source=meta&utm_medium=paid_social&utm_campaign=sn_meta_prospeccao_arquiteto&utm_content=sn_meta_prospeccao_arquiteto_plugin_pluginnosu_copy03&utm_term=arquiteto
meta,SN_META_PROSPECCAO_ARQUITETO,PLUGIN,SN_META_PROSPECCAO_ARQUITETO_PLUGIN_TRESCENAS_COPY04,/sketchup,https://spacenode.app/sketchup?utm_source=meta&utm_medium=paid_social&utm_campaign=sn_meta_prospeccao_arquiteto&utm_content=sn_meta_prospeccao_arquiteto_plugin_trescenas_copy04&utm_term=arquiteto
meta,SN_META_SEGUIDORES_ARQUITETO,QUENTE,SN_META_SEGUIDORES_ARQUITETO_QUENTE_DRONE_COPY05,perfil @spacenode.app,https://www.instagram.com/spacenode.app/
meta,SN_META_SEGUIDORES_ARQUITETO,QUENTE,SN_META_SEGUIDORES_ARQUITETO_QUENTE_PLUGINNOSU_COPY05,perfil @spacenode.app,https://www.instagram.com/spacenode.app/
