Parameters:TimeZone=America/Sao_Paulo
Google Click ID,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
"CjwKCAjwmozTBhAeEiwAkEGZzgI5tOqDh1VHLf7bySAqafd6w9jqKgwTeqDC63wJgIVOZxase4VcthoCl78QAvD_BwE","Cadastro","2026-07-24 08:23:13","",""
"CjwKCAjwmozTBhAeEiwAkEGZzlTeViMCdGu86VabonbrySK52_71IS_UWgKBWmiGScx9weUijIeO0xoCLUUQAvD_BwE","Cadastro","2026-07-24 09:25:34","",""
"CjwKCAjwvZHTBhAlEiwA1ug5P8Eo9miXQTJZlD9auaLc9tjo3LWbUanWia3H0pv2wePVRqoFbThFQRoCPKwQAvD_BwE","Cadastro","2026-07-25 07:02:57","",""
"CjwKCAjwvZHTBhAlEiwA1ug5PwOAxpaj-oZr6tYcIPzBvNV3Si-9W0pulylIRqdUaEYwfJBdjsXcuhoCdoIQAvD_BwE","Cadastro","2026-07-25 07:15:18","",""
"CjwKCAjwvZHTBhAlEiwA1ug5P3EXoRUhwwnGV0Ty5HNZ8c9w9H6YqO9ZeNoaZRAElvkcPz5jBH6h_xoCB8oQAvD_BwE","Cadastro","2026-07-25 07:23:12","",""
"CjwKCAjwvZHTBhAlEiwA1ug5P5c-6sxhd486rFQTuKPmkO644vDvR07XgMhT2ahT6kLKtAipDdwLWBoCZBcQAvD_BwE","Cadastro","2026-07-25 08:36:43","",""
"CjwKCAjwvZHTBhAlEiwA1ug5P42wZ7_-gtiV6KotONaDQC8ClZecORv11GwqFhQwInxa87232yfKNRoCIXIQAvD_BwE","Cadastro","2026-07-25 10:33:01","",""
"CjwKCAjwvZHTBhAlEiwA1ug5P_Kelfx3EHXgHvxro5Wz-CzVvx5K6XFf_cOpZhGCVWrAR206srjIWxoCELoQAvD_BwE","Cadastro","2026-07-25 10:35:59","",""
"EAIaIQobChMIwpqaoYfulQMV9YBaBR0WHSq4EAAYASAAEgJCYPD_BwE","Cadastro","2026-07-25 11:39:36","",""
"Cj0KCQjw4JbTBhCoARIsALWUaBslNecXuf3ZH42CCoGWGrj5DhJxuMf6wSbCnVAB3gL00MiW6rHk7_4aAjd2EALw_wcB","Cadastro","2026-07-26 05:11:26","",""
"Cj0KCQjw4JbTBhCoARIsALWUaBuRzudQn0ONuZvfMD9CQpS1D06J0gIe8GyvdJWgflNwIUbtMvxRCxgaAqDqEALw_wcB","Cadastro","2026-07-26 08:22:59","",""
"Cj0KCQjw4JbTBhCoARIsALWUaBv-zMwMul5smLfrvo7u6glj0F9KSn-Y9w69dfP0VptxcT7GorCyjmUaAuigEALw_wcB","Cadastro","2026-07-26 11:20:46","",""
"Cj0KCQjw4JbTBhCoARIsALWUaBufzm03sct27HLH9CvbViBRxa-98AnQANfszS0pjYZC3f5lKN1Or4AaAo8IEALw_wcB","Cadastro","2026-07-26 11:34:55","",""
